title,author,length
He Who Fights with Monsters 8,"Shirtaloon,Travis Deverell",Length: Not Yet Known
The Bullet That Missed,Richard Osman,Length: 11 hrs and 16 mins
Here Lie the Dead,JD Kirk,Length: 12 hrs and 53 mins
The Rules of Dating,"Penelope Ward,Vi Keeland",Length: 10 hrs and 47 mins
Expeditionary Force Book 15,Craig Alanson,Length: Not Yet Known
Making the Match,Kristen Ashley,Length: Not Yet Known
Haunting Adeline,H. D. Carlton,Length: 15 hrs and 44 mins
Dreamland,Nicholas Sparks,Length: 9 hrs and 47 mins
Starry Messenger,Neil deGrasse Tyson,Length: 7 hrs and 17 mins
The Biggest Ideas in the Universe,Sean Carroll,Length: 9 hrs and 55 mins
The Divider,"Peter Baker,Susan Glasser",Length: 28 hrs and 46 mins
A World of Curiosities,Louise Penny,Length: Not Yet Known
The Chameleon Effect,Joe Arden,Length: 6 hrs and 52 mins
Herald of Shalia 4,Tamryn Tamer,Length: 12 hrs and 43 mins
The Light We Carry,Michelle Obama,Length: Not Yet Known
Be the Serpent,Seanan McGuire,Length: 12 hrs and 44 mins
State of the Union,Marie Force,Length: 11 hrs and 47 mins
The Librarian of Crooked Lane,C.J. Archer,Length: 8 hrs and 9 mins
The Winners,Fredrik Backman,Length: 21 hrs and 22 mins
Smart Brevity,"Jim VandeHei,Mike Allen,Roy Schwartz",Length: 3 hrs and 1 min
Marshal Arcane,Terry Mancour,Length: Not Yet Known
Goroth,Neven Iliev,Length: 10 hrs and 55 mins
The Return of the Gods,Jonathan Cahn,Length: 8 hrs and 34 mins
The Big Truth,"Major Garrett,David Becker",Length: 10 hrs and 43 mins
Discipline Is Destiny,Ryan Holiday,Length: 7 hrs and 17 mins
Sweetwater and the Witch,Jayne Castle,Length: 9 hrs and 1 min
Revenge,Tom Bower,Length: 16 hrs and 23 mins
Dr. Off Limits,Louise Bay,Length: 7 hrs and 12 mins
It Starts with Us,Colleen Hoover,Length: Not Yet Known
Home,Whitney Hanson,Length: 1 hr and 31 mins
Knot So Perfect Omega,Maya Nicole,Length: 7 hrs
8 Rules of Love,Jay Shetty,Length: Not Yet Known
Righteous Prey,John Sandford,Length: 11 hrs and 47 mins
"It's Not Me, It's You","John Kim,Vanessa Bennett",Length: 6 hrs and 43 mins
The Trap,David Icke,Length: 18 hrs and 56 mins
Confidence Man,Maggie Haberman,Length: Not Yet Known
American Ripper,Patrick Kendrick,Length: 19 hrs and 33 mins
Letter to the American Church,Eric Metaxas,Length: 5 hrs and 32 mins
That Bird Has My Wings,Jarvis Jay Masters,Length: Not Yet Known
Give Up the Ghost,Angie Fox,Length: 8 hrs and 29 mins
Mark of the Fool,J.M. Clarke,Length: 19 hrs
You Are Not Alone,Ken Duckworth,Length: 13 hrs and 59 mins
The 6 Habits of Growth,Brendon Burchard,Length: 5 hrs and 4 mins
Forsaken Country,Allen Eskens,Length: 11 hrs and 9 mins
Taking Back Trump's America,Peter Navarro,Length: 13 hrs and 40 mins
Resurrection: A Channeled Text,Paul Selig,Length: 13 hrs and 51 mins
Don't Let Me Go,Kelsie Rae,Length: 11 hrs and 44 mins
Her Bleeding Heart,D.K. Hood,Length: 9 hrs and 12 mins
Terrible Beauty,Anna Zaires,Length: 6 hrs and 53 mins
The Golden Enclaves,Naomi Novik,Length: 14 hrs and 49 mins
Follow,Tessa Bailey,Length: 8 hrs and 41 mins
The Resurrected Jesus,"David Limbaugh,Christen Limbaugh Bloom",Length: 10 hrs and 32 mins
No Plan B,"Lee Child,Andrew Child",Length: 11 hrs and 3 mins
His Last Command,Dan Abnett,Length: 10 hrs and 18 mins
The Viper,J.R. Ward,Length: 11 hrs and 9 mins
Empire Reborn,Jay Allan,Length: 14 hrs and 41 mins
The Dark One,Nikki St. Crowe,Length: 5 hrs and 31 mins
The Mad Mage of Sevendor,Terry Mancour,Length: Not Yet Known
The Renegade,Silvia Violet,Length: 6 hrs and 19 mins
Courts and Cabals 4,G.S. D'Moore,Length: 13 hrs and 23 mins
Lucy by the Sea,Elizabeth Strout,Length: 8 hrs and 19 mins
Personas decentes,Leonardo Padura,Length: 16 hrs and 31 mins
Lady Justice,Dahlia Lithwick,Length: 10 hrs and 49 mins
Your Purpose Is Calling,Dharius Daniels,Length: 5 hrs and 38 mins
A Light in the Flame,Jennifer L. Armentrout,Length: 24 hrs
Those Three Words,Alexis Winter,Length: 7 hrs and 38 mins
The Butcher and the Wren,Alaina Urquhart,Length: 6 hrs and 23 mins
Whiskers and Lies,Sofie Kelly,Length: 7 hrs and 29 mins
White Fear,Roland S. Martin,Length: 3 hrs and 28 mins
Lead the Way,"Jason Anspach,Nick Cole",Length: 11 hrs and 37 mins
George Michael,James Gavin,Length: 18 hrs and 13 mins
Desert Star,Michael Connelly,Length: Not Yet Known
